sample_id,formula,working_ion,anion_family,target
mp-754467,LiV2(OF)3,Li,halide,427.3581226323999
mp-28222,Rb3Sb2Br9,other,halide,243.31671190922583
mp-1045844,YCu3(NiO3)4,other,oxide,693.8451203895777
mp-759575,Li2FeSiO4,Li,phosphate_or_polyanion,129.47891495719963
mp-761565,Li4Mn3Cu(PO4)4,Li,phosphate_or_polyanion,577.6934645589229
mp-764188,NaV5O10,Na,oxide,231.2926567667253
mp-754679,Li5V2Fe3O10,Li,oxide,473.85998155311626
mp-765929,Li5Mn5(FeO6)2,Li,oxide,573.3897318016512
mp-775563,Li5Mn5(SeO3)8,Li,oxide,374.3943131015167
mp-781613,Li4Fe3Co5O16,Li,oxide,676.0453990897772
mp-758298,Li2NiP2O7,Li,phosphate_or_polyanion,84.56329810768797
mp-769768,RbMn4O8,other,oxide,73.67742523918415
mp-772553,Na2Ti3Cr(PO4)6,Na,phosphate_or_polyanion,190.6160237339426
mp-1101601,LiV2(PO4)3,Li,phosphate_or_polyanion,50.23608377700933
mvc-2283,Ca2Co9O13,Ca,oxide,710.2116222848782
mp-757403,Na7Cu7O13,Na,oxide,265.61530344365434
mp-769776,Li2CoGeO4,Li,oxide,492.3044353992516
mp-1047673,CaV2O4,Ca,oxide,287.0599188671471
mp-765364,Li10Mn2V3Cr3O16,Li,oxide,846.1774104254993
mp-769549,LiZnCr3(SO4)6,Li,sulfide,98.74900068280942
mp-1341727,CaTi5O7,Ca,oxide,330.63298111418305
mp-765368,LiVF5,Li,halide,479.39385534584346
mp-757099,Li4MnNi3(PO4)4,Li,phosphate_or_polyanion,617.6345585926914
mp-1041248,BaMgBiF7,Mg,halide,582.5198458099848
mp-768446,LiMn3(PO4)3,Li,phosphate_or_polyanion,33.15100530767869
mp-773719,LiFe23O32,Li,oxide,70.66348194815666
mp-762283,LiCo(CO3)2,Li,oxide,159.17129098730652
mp-1177237,Li4V3(FeO6)2,Li,oxide,170.7913714395414
mp-850218,Li35(FeO4)8,Li,oxide,34.61260503155516
mp-1047626,Mg(MoO2)2,Mg,oxide,266.767945410105
mp-759328,Li2Ti2V3O10,Li,oxide,114.75786086510084
mp-705431,Li6Fe5(P2O7)4,Li,phosphate_or_polyanion,200.6687848644008
mp-705375,LiNi4P7O24,Li,phosphate_or_polyanion,48.477800827805446
mvc-13928,CaBiF5,Ca,halide,660.8143191956025
mp-540231,Li2FeP2O7,Li,phosphate_or_polyanion,80.72209030470746
mvc-4501,Zn3Ge3(WO6)2,Zn,oxide,1113.1342699863606
mp-1183200,Al3Sn,Al,other,5121.226550027491
mp-18718,Ca(NiO2)4,Ca,oxide,70.39021190488157
mp-773699,LiMg(Fe5O8)2,Li,oxide,150.19741465474183
mp-764682,LiVOF3,Li,halide,491.7378601260063
mvc-14117,CaNi2(P2O7)2,Ca,phosphate_or_polyanion,340.27142912848024
mp-773545,Li4Ti3Mn5O16,Li,oxide,602.0134814966474
mp-1101481,NaMn2O4,Na,oxide,606.2657230664677
mp-1233065,Y14Mg(ReO14)2,Mg,oxide,71.01100435580899
mp-769507,Li10CoNi9O20,Li,oxide,261.99810131225036
mvc-14055,MgCr2S5,Mg,sulfide,529.6551715682292
mp-25396,Li2NiPCO7,Li,phosphate_or_polyanion,166.20775747793607
mp-768872,Li4Cr3GaO8,Li,oxide,150.83683127114222
mp-1046616,Sr2YV2GaO7,other,oxide,735.0443396838074
mp-1185941,MgReO3,Mg,oxide,1474.7773039327938
mp-757143,Li2Mn3F10,Li,halide,105.1439755188833
mp-753032,LiMn2F5,Li,halide,250.70311614236397
mp-1221427,Na(V3S4)2,Na,sulfide,94.94699653093554
mp-761283,Li5V5O9F,Li,halide,229.22461666615615
mp-1326300,ZnWF5,Zn,halide,207.68978795728447
mp-766048,Li4V2SiGeO10,Li,phosphate_or_polyanion,230.48849673230288
mp-780936,Li5V6O5F19,Li,halide,490.5754761918512
mp-761298,LiVPO4,Li,phosphate_or_polyanion,590.7287214986271
mp-1185851,MgC,Mg,other,4037.8995003910873
mp-1045723,AlCo4(CuO4)3,Al,oxide,739.6530236943684
mp-1094536,Mg2Sb,Mg,other,1218.1399981896004
mp-773355,Li3V(FeO3)2,Li,oxide,390.7367118637656
mp-1297796,Li4Mn3CoO8,Li,oxide,148.38070765327393
mp-26051,LiMo8(P2O11)4,Li,phosphate_or_polyanion,12.857025493837783
mp-1177164,Li4VAs2O9,Li,oxide,56.86497817850489
mp-540431,Li2Fe5(PO4)4,Li,phosphate_or_polyanion,272.0761080674385
mp-1048321,Ba2YMn3O7,other,oxide,699.983175481096
mp-771630,LiCr3(FeO4)2,Li,oxide,291.31387032012395
mp-1045800,CaV(PO3)4,Ca,phosphate_or_polyanion,179.1735126313239
mp-1206427,KRb2CuF6,K,halide,251.7340942840554
mp-777285,Li9P8W3O29,Li,phosphate_or_polyanion,217.23623177404485
mp-1091364,LiDySn2,Li,other,473.66300010004073
mp-1041378,Ca(NiO2)2,Ca,oxide,90.85830774295928
mp-776381,LiVPO5,Li,phosphate_or_polyanion,53.26945488869603
mvc-11654,Mn4ZnO8,Zn,oxide,572.5638080226933
mp-1110976,Cs2LiBiF6,other,halide,474.9291535570295
mp-504103,Li(WO2)2,Li,oxide,121.84205474232326
mp-776265,Li5V3(FeO5)2,Li,oxide,234.36859608800208
mp-545348,MgVO3,Mg,oxide,307.51765735463226
mvc-5032,MgCr2O4,Mg,oxide,1164.3800085961404
mp-1177231,Li4VCr2Ni3(PO4)6,Li,phosphate_or_polyanion,387.7333051289364
mp-18640,LiTi2(PO4)3,Li,phosphate_or_polyanion,98.35672869198224
mp-1396333,MgTiO2,Mg,oxide,248.38738247982764
mp-19533,Al2Fe3(SiO4)3,Al,phosphate_or_polyanion,672.7471843070725
mp-1048376,CaCoP2O7,Ca,phosphate_or_polyanion,167.3512371082951
mp-759245,Li4NbFe5(PO4)6,Li,phosphate_or_polyanion,368.55641958846866
mp-1043299,MgCu3(WO3)4,Mg,oxide,387.44865625943726
mp-976923,NaReO3,Na,oxide,757.4578672166982
mp-849619,Li3Fe8(BO3)8,Li,phosphate_or_polyanion,22.863269897506378
mp-34425,Zn(FeO2)2,Zn,oxide,94.02670213126927
mp-773292,Li3Mn(FeO3)2,Li,oxide,389.4742160809601
mp-1012791,NaV3P3O13,Na,phosphate_or_polyanion,88.45150688988676
mp-1110979,Cs2NaSbF6,other,halide,447.80789786442034
mp-772726,Na3CuCSO7,Na,sulfide,137.82962145259663
mp-19410,ZnCr2O4,Zn,oxide,292.0469682256259
