sample_id,formula,working_ion,anion_family,target
mp-1233991,MgFe3Ni2Sb(PO4)6,Mg,phosphate_or_polyanion,1.605119484999979
mp-504207,LiSb(PO3)4,Li,phosphate_or_polyanion,5.078081334999998
mp-753964,Li4Mn5NiO12,Li,oxide,3.462582658333336
mp-776752,Li4Mn2Fe3Sb(PO4)6,Li,phosphate_or_polyanion,2.544013022500001
mvc-13158,CaVO3,Ca,oxide,3.086937903750001
mp-1385937,AlCrO3,Al,oxide,3.3744669333333355
mvc-6278,Zn(MoO2)2,Zn,oxide,0.5162415299999998
mp-18911,LiVP2O7,Li,phosphate_or_polyanion,3.2939608733333374
mp-1210860,LiFeWClO4,Li,halide,3.3897662183333397
mp-772480,Na3MnSiCO7,Na,phosphate_or_polyanion,3.2176514749999923
mp-767658,Li4Mn2Co3Te3O16,Li,oxide,3.4978443100000027
mp-762472,Li9Co13O28,Li,oxide,3.930808275999993
mp-1327109,CaTi2O4,Ca,oxide,1.31064925
mp-1201518,K3Fe5F15,K,halide,4.090842692999986
mp-1177345,Li4MnNi3O8,Li,oxide,3.614963173333341
mp-776880,Li2Fe2Ni(PO4)3,Li,phosphate_or_polyanion,3.5262138108333305
mvc-5786,Mg2IrWO6,Mg,oxide,2.2584449437499994
mp-1303020,Li2Mn3TeO8,Li,oxide,3.985719340833332
mp-762707,Li3Fe(PO4)2,Li,phosphate_or_polyanion,4.964355079999995
mvc-11377,Ca2Cr2(SiO4)3,Ca,phosphate_or_polyanion,4.712183821250004
mp-760195,Li3Fe4(BO3)4,Li,phosphate_or_polyanion,2.8522516733332894
mp-759672,LiVOF3,Li,halide,4.337811183333341
mp-771418,Na2VAsCO7,Na,oxide,3.343028360000001
mp-1177554,Li4Cr2(PO4)3,Li,phosphate_or_polyanion,1.6918069150000057
mvc-15644,MgMoO3,Mg,oxide,2.087155268750001
mp-770955,Li4TiCo5O12,Li,oxide,3.80886259583333
mp-540518,Li4Ni3P4O15,Li,phosphate_or_polyanion,4.923337311666666
mp-1040886,MgCr2P2O9,Mg,phosphate_or_polyanion,3.649400828750001
mp-764909,Li5Mn3Cr(PO4)4,Li,phosphate_or_polyanion,-0.3510106266666877
mp-1012668,LiMo2P2O9,Li,phosphate_or_polyanion,3.450910178333335
mp-763051,Li2VO2F,Li,halide,2.915378378333334
mp-1044419,CaBiWO5,Ca,oxide,3.4479822049999984
mp-769435,Li13Ni15O28,Li,oxide,3.680952734999996
mp-831270,Li5Mn6(BO3)6,Li,phosphate_or_polyanion,3.8589016283333297
mp-766862,Li2VF6,Li,halide,4.6247205999999945
mp-1046986,BaCaTi4O8,Ca,oxide,1.0661046987499987
mp-762487,LiFeP2O7,Li,phosphate_or_polyanion,5.300311742500005
mvc-14983,ZnCu4(SnSe4)2,Zn,other,0.9449469025000012
mp-765538,Li3Co2NiO6,Li,oxide,3.688484255
mp-1210001,NaTi4(CuO4)3,Na,oxide,3.4058114665517145
mp-1235421,LiFe8(O7F)2,Li,halide,3.1700326033333157
mp-755741,Li2FeF4,Li,halide,3.735470313333328
mp-759305,Li3Mn2P2(O4F)2,Li,halide,3.8711149208333255
mp-1211002,LiTi3Zn2O8,Li,oxide,1.6850668183333302
mp-1210050,NaV4(CuO4)3,Na,oxide,2.9726397965517073
mp-1233190,CaCuP4(RuO7)2,Ca,phosphate_or_polyanion,1.9513872800000085
mvc-4469,Ca3Ge3(WO6)2,Ca,oxide,2.5900574837500026
mp-19242,YNiO3,other,oxide,4.198894483333334
mp-1043970,CaLaTaFeO6,Ca,oxide,3.574597713749997
mp-765619,Li6NbFe5O12,Li,oxide,2.516206340000001
mp-863350,LiV3OF11,Li,halide,5.628901943333337
mp-26046,LiCr2(PO4)3,Li,phosphate_or_polyanion,4.899882858333318
mp-1111439,Cs2LiSbCl6,Li,halide,3.0516368125000013
mp-849492,Li5Fe4(P2O7)4,Li,phosphate_or_polyanion,4.086773110000001
mvc-8026,Ca3Cr6(FeO6)4,Ca,oxide,3.1353485987499905
mp-759511,Li2VF6,Li,halide,4.663638870833336
mp-1043184,V4Zn(CuO4)3,Zn,oxide,0.7285170899999903
mp-752482,LiV3F10,Li,halide,3.938468448333329
mp-758511,Li2V2(PO4)3,Li,phosphate_or_polyanion,3.4262122808333446
mp-776457,LiV4OF11,Li,halide,2.8239498833333316
mp-850944,Li21(Co4O9)2,Li,oxide,0.5497901133333631
mp-1235635,LiDy2Mn4O8,Li,oxide,0.9469528733333494
mp-1407346,V4ZnS8,Zn,sulfide,0.1505506000000031
mp-38676,Li11(NiO2)12,Li,oxide,3.7327223658333377
mp-767605,Li2VF5,Li,halide,3.739031075833336
mp-1048153,Ba2AlFe3O8,Al,oxide,2.219140686666663
mp-753403,LiCu2(CO3)2,Li,oxide,3.923507368333337
mp-978294,Mg3Sn,Mg,other,0.0887671599999997
mp-779007,Li10Fe2Co3Ni3O16,Li,oxide,2.740996586666668
mp-1188169,LiFe(GeO3)2,Li,oxide,5.024529735
mvc-4299,Al(SnO2)2,Al,oxide,0.8292468783333341
mp-1235187,LiEr2Tl2(WO4)4,Li,oxide,0.3686565333333409
mp-773326,Li2FeNiO4,Li,oxide,3.1238615099999945
mp-1234372,MgV3CoSn2(PO4)6,Mg,phosphate_or_polyanion,2.531170824999994
mvc-16013,Mg2W3O8,Mg,oxide,1.6987411424999992
mp-985806,Al2Cu,Al,other,0.089033115
mp-766536,Li5Mn6(BO3)6,Li,phosphate_or_polyanion,2.9298372833332875
mp-1177927,Li2Mn2F7,Li,halide,4.435204242499991
mp-26247,Li5Cu(PO4)2,Li,phosphate_or_polyanion,3.483105963333334
mp-20046,LiCoAsO4,Li,oxide,4.520946918333334
mp-553248,CsLaNb2O7,other,oxide,5.298174927931036
mp-1331343,Mg(NiO2)2,Mg,oxide,4.235775951249999
mp-1043526,MgCr(Si2O5)2,Mg,phosphate_or_polyanion,3.255571777500006
mvc-7604,CaTa2CoO7,Ca,oxide,4.472948702500001
mp-770599,Li6Fe2C4SO16,Li,sulfide,3.488504268333334
mp-1046897,BaMg(SbO2)4,Mg,oxide,1.5040997750000016
mp-1177280,Li4Ti3Mn3(SnO8)2,Li,oxide,3.6024768833333356
mp-1041912,CaCo(SiO3)2,Ca,phosphate_or_polyanion,3.8240194162499983
mp-755193,Li2FeF6,Li,halide,6.230379483333334
mp-1078515,LiTbSn2,Li,other,0.0429990550000005
mp-763639,Li3Ti2V3O10,Li,oxide,2.655622819999996
mp-1866196,CaCr2O5,Ca,oxide,3.2497115725
mp-764301,K2LiVPO6,Li,phosphate_or_polyanion,1.884593360000001
mp-769507,Li10CoNi9O20,Li,oxide,3.768398528333312
mp-1044221,ZnCrBiO5,Zn,oxide,2.032841976249998
mp-759970,Li4Mn3OF8,Li,halide,3.673893886666666
mp-558283,KMo2P3O13,K,phosphate_or_polyanion,4.352703557999995
mp-773027,Li5V18O44,Li,oxide,3.5401475758333487
mp-764281,Li5Ti2Co3O10,Li,oxide,3.114251170000022
mp-540121,LiMn6PO12,Li,phosphate_or_polyanion,4.913832654999999
mp-762217,Li2P4WO13,Li,phosphate_or_polyanion,3.4143151999999803
mvc-3807,Ca2Bi2O5,Ca,oxide,3.400006140000001
mp-1046984,BaZn(SnO2)4,Zn,oxide,0.8714540775000024
mp-1233229,MgV12(BO5)4,Mg,phosphate_or_polyanion,-1.1939946099999856
mp-763980,Li6Mn5Ni3O16,Li,oxide,3.150229395000001
mp-19131,LiMnBO3,Li,phosphate_or_polyanion,3.8402339033333472
mp-1045038,YCr3O6,other,oxide,3.295987151666664
mp-867580,Li2Cr5(Si2O7)2,Li,phosphate_or_polyanion,2.976786365833338
mvc-8027,Zn2W3O8,Zn,oxide,0.8613274687500031
mp-1236234,LiDy2Nb2O8,Li,oxide,-0.0168069666666734
mp-771454,Na3CrAsCO7,Na,oxide,1.6966806849999998
mvc-14450,Mg(VS2)2,Mg,sulfide,1.1068845574999968
mp-1042056,CaSi2NiO6,Ca,phosphate_or_polyanion,4.568911971874992
mp-1177767,Li2VFeP2(HO5)2,Li,phosphate_or_polyanion,3.506362818333348
mp-753080,Li3V(OF)2,Li,halide,2.30192013333333
mp-1112244,K2TiCuF6,K,halide,2.4863504130000003
mp-768173,Li2Al2FeO6,Li,oxide,4.1999866583333345
mp-1047032,ZnBiAsO5,Zn,oxide,2.225673118749999
mp-849398,Li5Mn2(PO4)3,Li,phosphate_or_polyanion,3.4730733870833363
mp-767198,Li4CrNi3(PO4)4,Li,phosphate_or_polyanion,4.144086857500005
mvc-12661,Zn(FeO2)2,Zn,oxide,1.255302981250002
mp-761099,Li7VO5F,Li,halide,1.4603185233333325
mp-673098,LiBi(PO3)4,Li,phosphate_or_polyanion,5.018669074999982
mp-24991,NaFe(GeO3)2,Na,oxide,4.870858315000009
mp-774023,Na2Ti3Fe(PO4)6,Na,phosphate_or_polyanion,4.791876805000011
mp-867568,CsTi6O12,other,oxide,1.6585282579310596
mp-763590,K4Li3(FeO4)2,Li,oxide,2.998487386666668
mp-763833,NaLiMnPCO7,Li,phosphate_or_polyanion,4.120282989999998
mp-765867,LiV3(O2F)2,Li,halide,2.737871740000008
mp-18866,CaV4O9,Ca,oxide,3.8176174074999976
mp-768601,Li3VSiCO7,Li,phosphate_or_polyanion,2.9761610808333403
mp-761231,LiFe2(BO3)2,Li,phosphate_or_polyanion,3.165788998333345
mp-774639,Li2MnSiO4,Li,phosphate_or_polyanion,4.022318893333339
mp-761650,Li2Fe(CoO3)2,Li,oxide,3.9458870700000026
mp-1233879,MgMn6(OF2)4,Mg,halide,2.269248065000004
mp-775926,Li4Mn3Ni3(PO4)6,Li,phosphate_or_polyanion,3.782770790833344
mp-758387,Li4Co15O28,Li,oxide,3.593291998333332
mp-757088,Li4Fe7(OF7)2,Li,halide,3.4674608208333284
mp-554940,LiCr3O8,Li,oxide,4.716005218333341
mp-1048096,Ba2AlSn3O7,Al,oxide,-0.2900560933333335
mp-849324,Li4Mn7(PO4)6,Li,phosphate_or_polyanion,3.35873180583332
mp-25811,Li3V2P5O16,Li,phosphate_or_polyanion,2.166292888333335
mp-1044156,Ca2Nb2WO8,Ca,oxide,2.168523011249998
mp-773337,Li5Mn7O12,Li,oxide,2.7128222883333284
mp-764746,Li5V7O12,Li,oxide,1.8130557933333384
